customer_numb,customer_name,customer_street,customer_zip,customer_phone,customer_email,order_numb,order_date,order_filled,credit_card_numb,credit_card_exp_date,isbn,quantity,buy_price,author_name,title,publisher_name,publication_year,book_supplier_numb,retail_price,books_on_hand
7,"Hayes, Edna",158 Oak Road,23458,551-555-1234,edna_hayes@this.net,15,1/9/2000,1,789 789 789 789,12/2/2001,0-123-1233-0,1,15.95,"Dumas, Alexandre","Three Musketeers, The",Grosset & Dunlap,1953,1,15.95,10
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,16,10/12/1999,0,890 890 890 890,11/2/2001,0-128-4321-1,1,22.95,"Clavell, James",Tai-Pan,Delacorte,1966,1,22.95,12
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,16,10/12/1999,0,890 890 890 890,11/2/2001,0-131-3021-2,1,24.95,"Rice, Anne","Tale of the Body Thief, The",Knopf,1992,2,24.95,18
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,16,10/12/1999,0,890 890 890 890,11/2/2001,0-132-9876-4,2,19.95,"Twain, Mark",Life on the Mississippi,James R. Osgood and Co.,1883,3,19.95,11
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,16,10/12/1999,0,890 890 890 890,11/2/2001,0-134-3945-7,1,21.95,"Stevenson, Robert Louis","Child's Garden of Verses, A",Scribner,1905,4,21.95,12
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,16,10/12/1999,0,890 890 890 890,11/2/2001,0-157-9876-2,1,21.95,"Burroughs, Edgar Rice",Out of Time's Abyss,Tandem,1973,3,21.95,4
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,17,2/22/2000,0,890 890 890 890,11/2/2001,0-131-3021-2,1,24.95,"Rice, Anne","Tale of the Body Thief, The",Knopf,1992,2,24.95,18
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,17,2/22/2000,0,890 890 890 890,11/2/2001,0-161-0123-9,1,23.95,"Ludlum, Robert","Bourne Identify, The",R. Marek Publishers,1980,3,23.95,10
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,17,2/22/2000,0,890 890 890 890,11/2/2001,0-190-3956-1,1,22.95,"Lee, Tanith","Book of the Beast, The",Overlook Press,1991,4,22.95,8
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,18,5/13/2000,1,890 890 890 890,11/2/2001,0-128-4321-1,1,22.95,"Clavell, James",Tai-Pan,Delacorte,1966,1,22.95,12
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,18,5/13/2000,1,890 890 890 890,11/2/2001,0-134-3945-7,1,21.95,"Stevenson, Robert Louis","Child's Garden of Verses, A",Scribner,1905,4,21.95,12
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,18,5/13/2000,1,890 890 890 890,11/2/2001,0-180-4567-3,1,15.95,"Butler, Octavia",Survivor,Doubleday,1978,3,15.95,8
8,"Hayes, Franklin",1990 Pine St.,23456,551-555-3939,franklin_hayes@this.net,18,5/13/2000,1,890 890 890 890,11/2/2001,0-190-3967-5,1,22.95,"Lee, Tanith","Book of the Dead, The",Overlook Press,1991,4,22.95,3
9,"Collins, Mary",RR1 Box 297,45678,553-555-1234,mary_collins@rural.net,19,7/15/1999,1,901 901 901 901,12/1/1999,0-131-3021-2,1,24.95,"Rice, Anne","Tale of the Body Thief, The",Knopf,1992,2,24.95,18
9,"Collins, Mary",RR1 Box 297,45678,553-555-1234,mary_collins@rural.net,19,7/15/1999,1,901 901 901 901,12/1/1999,0-150-3765-2,1,25.95,"Ludlum, Robert","Aquitaine Progression, The",Random House,1984,3,25.95,6
9,"Collins, Mary",RR1 Box 297,45678,553-555-1234,mary_collins@rural.net,19,7/15/1999,1,901 901 901 901,12/1/1999,0-150-5948-9,1,19.95,"Bronte, Charlotte",Jane Eyre,Random House,1943,3,19.95,15
9,"Collins, Mary",RR1 Box 297,45678,553-555-1234,mary_collins@rural.net,19,7/15/1999,1,901 901 901 901,12/1/1999,0-161-8478-1,1,24.95,"Ludlum, Robert","Holcroft Covenant, The",R. Marek Publishers,1978,2,24.95,16
9,"Collins, Mary",RR1 Box 297,45678,553-555-1234,mary_collins@rural.net,19,7/15/1999,1,901 901 901 901,12/1/1999,0-191-4893-0,1,19.95,"Cherryh, C. J.",Rimrunners,Warner Books,1989,2,19.95,2
10,"Collins, Peter",170 Dogwood Lane,23456,551-555-8484,peter_collins@anywhere.net,20,11/15/1999,0,1000 1000 1000,10/2/2001,0-142-3988-2,1,19.95,"Lee, Tanith",East of Midnight,St. Martin's Press,1978,2,19.95,15
10,"Collins, Peter",170 Dogwood Lane,23456,551-555-8484,peter_collins@anywhere.net,20,11/15/1999,0,1000 1000 1000,10/2/2001,0-191-8654-3,1,23.95,"Cherryh, C. J.",Hellburner,Warner Books,1992,2,23.95,10
10,"Collins, Peter",170 Dogwood Lane,23456,551-555-8484,peter_collins@anywhere.net,21,3/4/2000,1,1000 1000 1000,10/2/2001,0-126-3367-2,1,21.95,"Dumas, Alexandre","Count of Monte Cristo, The",Platt & Munk,1968,1,21.95,12
10,"Collins, Peter",170 Dogwood Lane,23456,551-555-8484,peter_collins@anywhere.net,21,3/4/2000,1,1000 1000 1000,10/2/2001,0-131-4966-9,1,23.95,"Rice, Anne",Lasher,Knopf,1993,1,23.95,15
10,"Collins, Peter",170 Dogwood Lane,23456,551-555-8484,peter_collins@anywhere.net,21,3/4/2000,1,1000 1000 1000,10/2/2001,0-134-3945-7,1,21.95,"Stevenson, Robert Louis","Child's Garden of Verses, A",Scribner,1905,4,21.95,12
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,22,9/19/1999,1,1100 1100 1100,2/1/2000,0-130-2943-2,2,15.95,"McCaffrey, Anne",Dragonflight,Ballantine Books,1978,1,15.95,12
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,23,2/21/2000,0,1100 1100 1100,2/1/2000,0-128-3939-2,1,25.95,"Clavell, James",Gai-Jin,Delacorte,1993,1,25.95,15
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,23,2/21/2000,0,1100 1100 1100,2/1/2000,0-129-9293-2,1,21.95,"Lee, Tanith",Black Unicorn,Atheneum,1991,3,21.95,6
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,23,2/21/2000,0,1100 1100 1100,2/1/2000,0-131-4966-9,1,23.95,"Rice, Anne",Lasher,Knopf,1993,1,23.95,15
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,23,2/21/2000,0,1100 1100 1100,2/1/2000,0-135-2222-2,1,24.95,"Stevenson, Robert Louis",Treasure Island,J. W. Lovell Co.,1886,4,24.95,8
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,23,2/21/2000,0,1100 1100 1100,2/1/2000,0-157-3849-X,1,19.95,"Burroughs, Edgar Rice","People that Time Forgot, The",Tandem,1975,3,19.95,8
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,23,2/21/2000,0,1100 1100 1100,2/1/2000,0-164-5968-0,1,27.95,"Barth, John",Letters: A Novel,Putnam,1979,3,27.95,5
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,23,2/21/2000,0,1100 1100 1100,2/1/2000,0-166-8394-3,1,27.95,"Barth, John","Sot-Weed Factor, The",Franklin Library,1980,3,27.95,6
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,24,5/14/2000,0,1100 1100 1100,2/1/2000,0-131-4966-9,1,23.95,"Rice, Anne",Lasher,Knopf,1993,1,23.95,15
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,24,5/14/2000,0,1100 1100 1100,2/1/2000,0-164-5968-0,1,27.95,"Barth, John",Letters: A Novel,Putnam,1979,3,27.95,5
11,"Smith, Anne",RR 2 Box 9,45678,553-555-9090,anne_smith@rural.net,24,5/14/2000,0,1100 1100 1100,2/1/2000,0-191-8654-3,1,23.95,"Cherryh, C. J.",Hellburner,Warner Books,1992,2,23.95,10
12,"Smith, Peter",21 Elm St.,10111,552-555-3459,peter_smith@somewhere.net,25,10/10/1999,1,1200 1200 1200,9/1/2001,0-129-9293-2,1,21.95,"Lee, Tanith",Black Unicorn,Atheneum,1991,3,21.95,6
12,"Smith, Peter",21 Elm St.,10111,552-555-3459,peter_smith@somewhere.net,25,10/10/1999,1,1200 1200 1200,9/1/2001,0-159-5839-3,1,19.95,"Burroughs, Edgar Rice",Apache Devil,Gregg Press,1933,2,19.95,4
